name,city,area,cuisines_clean,rating_clean,cost_two_clean,visibility_index,Platform,value_for_money
Leon Grill,Bangalore,Ashok Nagar,"Arabian, Beverages, Desserts, American",4.4,400,30.39852103,Swiggy,0.011
homely,Bangalore,Koramangala,"Home, Food, North, Indian, South, Indian, Beverages, Chettinad, Combo, Desserts, Hyderabadi, Indian, Lucknowi, Maharashtrian, Mangalorean, Punjabi, Rajasthani, Snacks, Sweets, Thalis",4.3,200,29.70764555,Swiggy,0.0215
Hotel Navayuga,Bangalore,Majestic,Andhra,4.3,400,19.84501822,Swiggy,0.01075
The Pizza Bakery,Bangalore,Ashok Nagar,"Italian, Pizzas, Pastas, Desserts",4.4,700,27.35306684,Swiggy,0.006285714
Beijing Bites,Bangalore,Ashok Nagar,Chinese,4.2,450,26.10974562,Swiggy,0.009333333
Kabab Magic,Bangalore,Richmond Town,"North, Indian, Chinese",3.3,400,15.22989771,Swiggy,0.00825
KFC,Bangalore,Ganganagar,"American, Fast, Food, Snacks",3.9,400,26.94414364,Swiggy,0.00975
The Chariot Veg Restaurant,Bangalore,Ashok Nagar,"Chinese, South, Indian, North, Indian, Desserts, Fast, Food, Punjabi",3.9,400,11.87363751,Swiggy,0.00975
Chung Wah,Bangalore,Malleswaram,"Chinese, Snacks",4.0,700,24.8664244,Swiggy,0.005714286
Kanti Sweets,Bangalore,Ashok Nagar,Sweets,4.4,100,17.30003278,Swiggy,0.044
New Punjabi Hotel,Bangalore,Indiranagar,"North, Indian, Punjabi, Tandoor, Chinese",3.9,250,24.24476379,Swiggy,0.0156
Shanti Sagar,Bangalore,Sivanchetti Gardens,"South, Indian",4.3,200,29.70764555,Swiggy,0.0215
Corner House Ice Cream,Bangalore,Ashok Nagar,"Ice, Cream, Desserts",4.7,250,32.47114746,Swiggy,0.0188
Hari Super Sandwich,Bangalore,3rd Block Jayanagar,"Fast, Food, Chaat, Snacks, Pizzas, North, Indian, Indian",4.0,100,27.63501912,Swiggy,0.04
Fiero! Pizzeria,Bangalore,Koramangala,"Pizzas, Italian, Pastas, Desserts, Beverages",3.9,400,24.24476379,Swiggy,0.00975
Truffles,Bangalore,Ashok Nagar,"American, Desserts, Continental, Italian",4.5,450,31.08939651,Swiggy,0.01
