name,city,area,cuisines_clean,rating_clean,delivery_mins,minDeliveryTime,maxDeliveryTime,cost_two_clean,visibility_index
Leon Grill,Bangalore,Ashok Nagar,"Arabian, Beverages, Desserts, American",4.4,32,32,32,400,30.39852103
Edesia by Freshmenu,Bangalore,Richmond Town,"Desserts, Bakery, Sweets",,35,35,35,150,
Amulya Veg Restaurant,Bangalore,Gandhi Nagar,"Chinese, Continental, Jain, North, Indian, South, Indian",,39,39,39,350,
homely,Bangalore,Koramangala,"Home, Food, North, Indian, South, Indian, Beverages, Chettinad, Combo, Desserts, Hyderabadi, Indian, Lucknowi, Maharashtrian, Mangalorean, Punjabi, Rajasthani, Snacks, Sweets, Thalis",4.3,52,52,52,200,29.70764555
Hotel Navayuga,Bangalore,Majestic,Andhra,4.3,35,35,35,400,19.84501822
The Pizza Bakery,Bangalore,Ashok Nagar,"Italian, Pizzas, Pastas, Desserts",4.4,36,36,36,700,27.35306684
Beijing Bites,Bangalore,Ashok Nagar,Chinese,4.2,33,33,33,450,26.10974562
KA01,Bangalore,Sampangi Rama Nagar,"North, Indian",,34,34,34,400,
Kabab Magic,Bangalore,Richmond Town,"North, Indian, Chinese",3.3,32,32,32,400,15.22989771
KFC,Bangalore,Ganganagar,"American, Fast, Food, Snacks",3.9,53,53,53,400,26.94414364
Nawabi Khana,Bangalore,Central Bangalore,"Arabian, Biryani",,40,40,40,300,
The Chariot Veg Restaurant,Bangalore,Ashok Nagar,"Chinese, South, Indian, North, Indian, Desserts, Fast, Food, Punjabi",3.9,35,35,35,400,11.87363751
Chung Wah,Bangalore,Malleswaram,"Chinese, Snacks",4,49,49,49,700,24.8664244
The Brooklyn Creamery - Healthy Ice Cream,Bangalore,Residency Road,"Desserts, Ice, Cream, Healthy, Food",,37,37,37,200,
Kanti Sweets,Bangalore,Ashok Nagar,Sweets,4.4,31,31,31,100,17.30003278
New Punjabi Hotel,Bangalore,Indiranagar,"North, Indian, Punjabi, Tandoor, Chinese",3.9,57,57,57,250,24.24476379
Shanti Sagar,Bangalore,Sivanchetti Gardens,"South, Indian",4.3,48,48,48,200,29.70764555
Corner House Ice Cream,Bangalore,Ashok Nagar,"Ice, Cream, Desserts",4.7,31,31,31,250,32.47114746
Hari Super Sandwich,Bangalore,3rd Block Jayanagar,"Fast, Food, Chaat, Snacks, Pizzas, North, Indian, Indian",4,42,42,42,100,27.63501912
